category,company,abbr,address,street_address,city,state,zip,Website Address,review_avg,reviews,Latitude,Longitude
Pizza restaurant,Denino's Pizzeria & Tavern,Denino's Pizzeria,"524 Port Richmond Ave, Staten Island, NY 10302",524 Port Richmond AveStaten Island,Staten Island,NY,10302,http://deninossi.com/,4.6,1980,40.6302068,-74.1402479
Pizza restaurant,Pizzeria Giove,Pizzeria Giove,"278 New Dorp Ln, Staten Island, NY 10306",278 New Dorp LnStaten Island,Staten Island,NY,10306,https://whereyoueat.com/,4.6,410,40.5721293,-74.113109
Pizza restaurant,Nonna s Pizza Great Kills,Nonna's Pizza,"27 Brower Ct, Staten Island, NY 10308",27 Brower CtStaten Island,Staten Island,NY,10308,https://www.nonnaspizzaonline.com/,4.6,409,40.5511108,-74.1511773
Pizza restaurant,Ti Amo Pizza,,"3555 Victory Blvd, Staten Island, NY 10314",3555 Victory BlvdStaten Island,Staten Island,NY,10314,http://www.tiamopizzastatenisland.com/,4.6,121,40.601582,-74.1767494
Pizza restaurant,DOUGH By Licastri,,"1456 Richmond Rd, Staten Island, NY 10304",1456 Richmond RdStaten Island,Staten Island,NY,10304,http://doughbylicastri.com/,4.6,233,40.5938961,-74.0994606
Pizza restaurant,Sal & Lloyd s Pizza Place,Sal & Lloyd's,"3850 Richmond Ave, Staten Island, NY 10312",3850 Richmond AveStaten Island,Staten Island,NY,10312,http://salandlloydspizzaplace.com/,4.6,102,40.5438827,-74.1652023
Pizza restaurant,DOUGH By Licastri,,"1456 Richmond Rd, Staten Island, NY 10304",1456 Richmond RdStaten Island,Staten Island,NY,10304,http://doughbylicastri.com/,4.6,233,40.5938961,-74.0994606
Pizza restaurant,Sal & Lloyd s Pizza Place,,"3850 Richmond Ave, Staten Island, NY 10312",3850 Richmond AveStaten Island,Staten Island,NY,10312,http://salandlloydspizzaplace.com/,4.6,102,40.5438827,-74.1652023
Pizza restaurant,Round Pie Pizza Company,Round Pie Pizza,"1957 Victory Blvd, Staten Island, NY 10314",1957 Victory BlvdStaten Island,Staten Island,NY,10314,http://www.roundpie.com/,4.6,363,40.6129077,-74.1292949
Pizza restaurant,Lee s Tavern,Lee's Tavern,"60 Hancock St, Staten Island, NY 10305",60 Hancock StStaten Island,Staten Island,NY,10305,https://leestavernnyc.com/,4.6,1012,40.5887642,-74.0951739
Pizza restaurant,Portofino Pizza (Stefanos),,"55 Gunton Pl # 1, Staten Island, NY 10309",55 Gunton Pl # 1Staten Island,Staten Island,NY,10309,http://stefanospizzasi.com/,4.6,83,40.5508271,-74.2106184
Pizza restaurant,Bravo Pizza & Sports Bar,,"413 New Dorp Ln, Staten Island, NY 10306",413 New Dorp LnStaten Island,Staten Island,NY,10306,https://www.bravopizzasi.com/,4.6,160,40.5702115,-74.1086165
Pizza restaurant,Original Giuseppes Pizza,,"4300 Amboy Rd, Staten Island, NY 10312",4300 Amboy RdStaten Island,Staten Island,NY,10312,http://giuseppespizzasi.com/,4.6,108,40.5458328,-74.1589984
Pizza restaurant,Domenico s Pizzeria,,"3295 Amboy Rd, Staten Island, NY 10306",3295 Amboy RdStaten Island,Staten Island,NY,10306,http://www.domenicospizzeria.com/,4.6,111,40.5611624,-74.1356948
Pizza restaurant,Reggiano s Brick Oven Pizza,Reggiano's,"7339 Amboy Rd, Staten Island, NY 10307",7339 Amboy RdStaten Island,Staten Island,NY,10307,http://www.reggianosbrickovenpizzeria.com/,4.5,454,40.5110112,-74.242012
Pizza restaurant,The Original Goodfella s Brick Oven Pizza,The Original Good Fella's,"1718 Hylan Blvd, Staten Island, NY 10305",1718 Hylan BlvdStaten Island,Staten Island,NY,10305,http://www.goodfellas.com/,4.5,717,40.5868079,-74.0914848
