Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,59.16,101,5.69,53.47
AL-003,Baldwin County,74.85,111,13,61.85
AL-005,Barbour County,58.85,100,6.57,52.28
AL-007,Bibb County,63.41,109,8.26,55.15
AL-009,Blount County,71.16,120,15.66,55.5
AL-011,Bullock County,57.85,97,5.81,52.04
AL-013,Butler County,62.47,101,6.82,55.65
AL-015,Calhoun County,56.65,83,3.34,53.31
AL-017,Chambers County,59.9,101,6.63,53.27
AL-019,Cherokee County,66.31,116,12.81,53.5
AL-021,Chilton County,59.87,98,5.72,54.15
AL-023,Choctaw County,69.4,116,12.62,56.78
AL-025,Clarke County,68.78,110,10.93,57.85
AL-027,Clay County,59.58,85,3.81,55.77
AL-029,Cleburne County,58.53,89,4.65,53.88
AL-031,Coffee County,62.53,100,6.36,56.17
AL-033,Colbert County,67.52,114,14.02,53.5
AL-035,Conecuh County,72.1,118,14.14,57.96
AL-037,Coosa County,61.64,100,7.05,54.59
AL-039,Covington County,68.44,109,9.85,58.59
AL-041,Crenshaw County,61.4,101,6.09,55.31
AL-043,Cullman County,71.63,119,15.61,56.02
AL-045,Dale County,62.36,98,7.99,54.37
AL-047,Dallas County,55.72,84,2.97,52.75
AL-049,DeKalb County,71.42,122,16.01,55.41
AL-051,Elmore County,61.1,105,7.69,53.41
AL-053,Escambia County,75.57,116,15.19,60.38
AL-055,Etowah County,66.11,111,11.73,54.38
AL-057,Fayette County,71.49,111,15.29,56.2
AL-059,Franklin County,69.68,117,15.03,54.65
AL-061,Geneva County,68.21,107,11.04,57.17
AL-063,Greene County,63.59,111,10.69,52.9
AL-065,Hale County,59.73,98,6.05,53.68
AL-067,Henry County,63.35,108,10.04,53.31
AL-069,Houston County,68.12,113,13.99,54.13
AL-071,Jackson County,68.22,117,13.52,54.7
AL-073,Jefferson County,68.75,119,13.27,55.48
AL-075,Lamar County,71.06,113,16.16,54.9
AL-077,Lauderdale County,67.83,115,13.89,53.94
AL-079,Lawrence County,67.44,113,14.08,53.36
AL-081,Lee County,62.55,110,10.28,52.27
AL-083,Limestone County,67.28,113,13.6,53.68
AL-085,Lowndes County,57.9,100,5.59,52.31
AL-087,Macon County,59.3,102,7.61,51.69
AL-089,Madison County,68.71,116,14.39,54.32
AL-091,Marengo County,57.09,84,2.97,54.12
AL-093,Marion County,72.81,119,17.27,55.54
AL-095,Marshall County,69.73,120,15.39,54.34
AL-097,Mobile County,79.35,119,16.91,62.44
AL-099,Monroe County,68.92,115,11.73,57.19
AL-101,Montgomery County,58.79,105,6.71,52.08
AL-103,Morgan County,68.01,114,14.11,53.9
AL-105,Perry County,57.08,90,3.54,53.54
AL-107,Pickens County,71.35,120,18.02,53.33
AL-109,Pike County,60.1,96,5.76,54.34
AL-111,Randolph County,58.13,78,3.51,54.62
AL-113,Russell County,58.88,106,9.04,49.84
AL-115,St. Clair County,67.15,118,12.09,55.06
AL-117,Shelby County,68.65,119,13.83,54.82
AL-119,Sumter County,59.55,95,5.5,54.05
AL-121,Talladega County,60.24,98,6.59,53.65
AL-123,Tallapoosa County,59.31,94,5.11,54.2
AL-125,Tuscaloosa County,67.29,111,11.93,55.36
AL-127,Walker County,69.93,116,13.47,56.46
AL-129,Washington County,76.89,119,17.25,59.64
AL-131,Wilcox County,58.85,92,4.64,54.21
AL-133,Winston County,72.51,118,16.15,56.36
AZ-001,Apache County,11.67,44,-1.78,13.45
AZ-003,Cochise County,14.46,77,-0.16,14.62
AZ-005,Coconino County,11.36,34,-2.23,13.59
AZ-007,Gila County,20.35,73,-0.38,20.73
AZ-009,Graham County,15.54,81,0.3,15.24
AZ-011,Greenlee County,15.89,63,-0.88,16.77
AZ-012,La Paz County,4.65,40,-1.32,5.97
AZ-013,Maricopa County,9.1,72,-0.17,9.27
AZ-015,Mohave County,7.3,20,-3.27,10.57
AZ-017,Navajo County,10.9,52,-1.44,12.34
AZ-019,Pima County,14.34,103,1.84,12.5
AZ-021,Pinal County,12.69,82,0.16,12.53
AZ-023,Santa Cruz County,18.82,78,0.39,18.43
AZ-025,Yavapai County,12.98,30,-3.3,16.28
AZ-027,Yuma County,5.05,83,0.17,4.88
AR-001,Arkansas County,53.53,80,2.56,50.97
AR-003,Ashley County,58.89,88,5.87,53.02
AR-005,Baxter County,45.88,77,2.51,43.37
AR-007,Benton County,50.45,95,5.17,45.28
AR-009,Boone County,47.91,91,4.29,43.62
AR-011,Bradley County,61.04,96,9.08,51.96
AR-013,Calhoun County,62.25,103,10.65,51.6
AR-015,Carroll County,48.94,91,4.31,44.63
AR-017,Chicot County,63.54,103,10.63,52.91
AR-019,Clark County,52.77,72,1.23,51.54
AR-021,Clay County,49.72,76,1.97,47.75
AR-023,Cleburne County,47.98,50,-1.98,49.96
AR-025,Cleveland County,58.68,94,7.17,51.51
AR-027,Columbia County,56.39,92,5.27,51.12
AR-029,Conway County,47.36,52,-1.6,48.96
AR-031,Craighead County,47.38,53,-1.07,48.45
AR-033,Crawford County,49.26,74,1.6,47.66
AR-035,Crittenden County,52.01,73,2.09,49.92
AR-037,Cross County,50,67,-0.3,50.3
AR-039,Dallas County,55.84,87,4.58,51.26
AR-041,Desha County,63.02,106,11.6,51.42
AR-043,Drew County,61.93,100,9.37,52.56
AR-045,Faulkner County,48.65,56,-1.59,50.24
AR-047,Franklin County,51.14,79,3.1,48.04
AR-049,Fulton County,46.07,69,0.87,45.2
AR-051,Garland County,50.06,53,-2.49,52.55
AR-053,Grant County,51.18,68,-0.27,51.45
AR-055,Greene County,48.49,69,0.78,47.71
AR-057,Hempstead County,54.82,88,4.25,50.57
AR-059,Hot Spring County,49.26,57,-3.04,52.3
AR-061,Howard County,56.69,85,4.75,51.94
AR-063,Independence County,45.72,47,-2.58,48.3
AR-065,Izard County,44.54,49,-1.16,45.7
AR-067,Jackson County,47.33,56,-1.32,48.65
AR-069,Jefferson County,52.26,72,1.1,51.16
AR-071,Johnson County,51.54,81,2.17,49.37
AR-073,Lafayette County,57.42,104,7.55,49.87
AR-075,Lawrence County,44.53,49,-2.86,47.39
AR-077,Lee County,59.27,96,8.25,51.02
AR-079,Lincoln County,61.08,102,8.89,52.19
AR-081,Little River County,53.81,89,5.15,48.66
AR-083,Logan County,46.03,57,-0.72,46.75
AR-085,Lonoke County,49.25,61,-0.76,50.01
AR-087,Madison County,49.31,78,1.7,47.61
AR-089,Marion County,47.68,91,4.76,42.92
AR-091,Miller County,55.15,98,6.23,48.92
AR-093,Mississippi County,46.93,54,-1.59,48.52
AR-095,Monroe County,52.86,82,2.35,50.51
AR-097,Montgomery County,54.68,72,2.29,52.39
AR-099,Nevada County,53.97,83,2.89,51.08
AR-101,Newton County,49.36,76,1.21,48.15
AR-103,Ouachita County,58.91,98,7.56,51.35
AR-105,Perry County,45.2,43,-3.72,48.92
AR-107,Phillips County,57.03,90,5.4,51.63
AR-109,Pike County,58.63,91,5.75,52.88
AR-111,Poinsett County,47.74,57,-1.32,49.06
AR-113,Polk County,56.77,79,4.02,52.75
AR-115,Pope County,49.27,64,-0.03,49.3
AR-117,Prairie County,48.58,62,-1.47,50.05
AR-119,Pulaski County,48.02,57,-2.61,50.63
AR-121,Randolph County,44.19,44,-2.99,47.18
AR-123,St. Francis County,54.7,79,3.86,50.84
AR-125,Saline County,49.6,55,-2.5,52.1
AR-127,Scott County,50.02,70,1.73,48.29
AR-129,Searcy County,49.19,84,2.81,46.38
AR-131,Sebastian County,52.04,95,6.7,45.34
AR-133,Sevier County,57,92,6.44,50.56
AR-135,Sharp County,46.72,61,-0.19,46.91
AR-137,Stone County,46.73,50,-0.82,47.55
AR-139,Union County,59.58,94,7.39,52.19
AR-141,Van Buren County,50.29,62,-0.18,50.47
AR-143,Washington County,47.07,68,0.01,47.06
AR-145,White County,48.47,55,-1.69,50.16
AR-147,Woodruff County,45.95,44,-3.91,49.86
AR-149,Yell County,44.26,43,-3.92,48.18
CA-001,Alameda County,12.61,21,-6.2,18.81
CA-003,Alpine County,30.09,49,-6.13,36.22
CA-005,Amador County,26.01,31,-9.31,35.32
CA-007,Butte County,30.24,21,-14.25,44.49
CA-009,Calaveras County,23.63,21,-10.73,34.36
CA-011,Colusa County,13.53,13,-8.52,22.05
CA-013,Contra Costa County,11.6,13,-6.94,18.54
CA-015,Del Norte County,73.08,51,-6.97,80.05
CA-017,El Dorado County,34.72,36,-10.02,44.74
CA-019,Fresno County,11.28,9,-8.38,19.66
CA-021,Glenn County,14.39,9,-11.54,25.93
CA-023,Humboldt County,46.93,21,-16.52,63.45
CA-025,Imperial County,2.18,31,-1.21,3.39
CA-027,Inyo County,3.03,4,-3.23,6.26
CA-029,Kern County,4.38,8,-4.71,9.09
CA-031,Kings County,4.72,16,-2.92,7.64
CA-033,Lake County,28.63,19,-14.91,43.54
CA-035,Lassen County,15.66,32,-4.78,20.44
CA-037,Los Angeles County,5.61,3,-10,15.61
CA-039,Madera County,13.25,9,-9.94,23.19
CA-041,Marin County,21.25,9,-14.31,35.56
CA-043,Mariposa County,18.97,9,-13.94,32.91
CA-045,Mendocino County,35.11,18,-16.58,51.69
CA-047,Merced County,7.99,26,-3.32,11.31
CA-049,Modoc County,13.88,27,-4.22,18.1
CA-051,Mono County,12.01,38,-3.65,15.66
CA-053,Monterey County,14.18,29,-6,20.18
CA-055,Napa County,20.35,20,-10.82,31.17
CA-057,Nevada County,39.33,38,-11.14,50.47
CA-059,Orange County,5.81,6,-7.79,13.6
CA-061,Placer County,35.41,37,-10.46,45.87
CA-063,Plumas County,31.6,35,-9.7,41.3
CA-065,Riverside County,4.06,7,-4.46,8.52
CA-067,Sacramento County,12.71,19,-6.02,18.73
CA-069,San Benito County,11.15,22,-5.66,16.81
CA-071,San Bernardino County,3.02,4,-3.86,6.88
