id,licenseNumber,licenseStatus,licenseTerm,licenseType,licenseDesignation,issueDate,expirationDate,licenseStatusDate,businessLegalName,businessDbaName,businessOwnerName,businessStructure,activity,premiseStreetAddress,premiseCity,premiseState,premiseCounty,premiseZipCode,businessEmail,businessPhone,parcelNumber,PremiseLatitude,PremiseLongitude
12768,C10-0000002-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,11/3/18,11/3/22,,Monterey County Patients Group Incorporated,MCPG - High Life,Eric Thomas,Data Not Available,Data Not Available,1988 Broadway St,Vallejo,CA,Solano,94589,Mcpgmembership@gmail.Com,(707) 653-2043,Data Not Available,38.14031715,-122.2517422
12925,C10-0000003-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,11/6/18,11/6/22,,"Omega Group, Inc.",Dank Depot,Gayk Akhsharumov,Data Not Available,Data Not Available,68031 Ramon Rd,Cathedral CTY,CA,Riverside,92234,Omegagroupcc@gmail.Com,(818) 281-7080,Data Not Available,33.81539472,-116.4748564
1591,C10-0000004-LIC,Active,Annual,Commercial -  Retailer,Adult-Use,11/8/18,11/8/22,,Leef Industries LLC,Leef Industries,"Alexander  D'Amico, GEORGE HACKNEY, Giannella Alvarez, Jane Morreau, Jason Pernell, Kimberly Rivers, Kyle  Landrum, MICHAEL O' Donnell, PETER HEALY, RAYMOND POWERS, Richard May, Susan Thronson, Thad Beshears, Thomas  Millner",Data Not Available,Data Not Available,3700 Vista Chino E,Palm Springs,CA,Riverside,92262,Support@leefindustries.Com,(760) 832-9222,Data Not Available,33.84530996,-116.5051309
1592,C10-0000005-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,11/14/18,11/14/22,,"Dpc Sf, LLC",Dutchman's Flat,"Beth Thuna, Marcus  Thuna, Robert Watson",Data Not Available,Data Not Available,2544 3rd St,San Francisco,CA,San Francisco,94122,Rw@dutchmansflat.Com,(415) 203-6277,Data Not Available,37.75738154,-122.3883531
1594,C10-0000007-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,11/20/18,11/20/22,,"Blue Mountain Collective, Inc.","BLUE MOUNTAIN COLLECTIVE, INC.",Conrad Bonet,Data Not Available,Data Not Available,692 Marshall Ave,San Andreas,CA,Calaveras,95249,Conradbonet0710@gmail.Com,(209) 754-3289,Data Not Available,38.190253,-120.671625
1595,C10-0000008-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,11/20/18,11/20/22,,"Creekside Wellness, Inc.",Data Not Available,Jeffery Angell,Data Not Available,Data Not Available,12603 Highway 9,Boulder Creek,CA,Santa Cruz,95006,Whereisjeff@gmail.Com,(801) 560-9466,Data Not Available,37.11720119,-122.120471
1596,C10-0000009-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,1/31/19,1/31/22,,Horizon Collective Inc.,1841 El Camino,"John Swanston, Sean Eaddy",Data Not Available,Data Not Available,1841 El Camino Ave,Sacramento,CA,Sacramento,95815,Horizoncollective@yahoo.Com,(916) 870-8067,Data Not Available,38.611463,-121.423635
1597,C10-0000010-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,3/19/19,3/18/22,,"Alternatives, A Health Collective","ALTERNATIVES, A HEALTH COLLECTIVE",KAREN KISSLER,Data Not Available,Data Not Available,1603 Hampton Way,Santa Rosa,CA,Sonoma,95407,Mskslr@comcast.Net,(415) 250-8888,Data Not Available,38.42820076,-122.7383473
1598,C10-0000011-LIC,Active,Provisional,Commercial -  Retailer,Adult-Use and Medicinal,3/28/19,3/27/22,,My Golden Green Inc.,The Humboldt County Collective,"Collin Hammans, JoAnn Hammans",Data Not Available,Data Not Available,1670 Myrtle Ave,Eureka,CA,Humboldt,95501,Goldengreen420@gmail.Com,(707) 442-2420,Data Not Available,40.7935166,-124.1360909
1602,C10-0000012-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,4/2/19,4/1/22,,Us Bloom Inc.,US Bloom,Nicholas Foster,Data Not Available,Data Not Available,1201 Springs Rd,Vallejo,CA,Solano,94591,Usbloom707@gmail.Com,(707) 561-0716,Data Not Available,38.105806,-122.22793
